Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Rigged Roll,Set all dice to|[quote]something other than <d6>[quote],2,if (simulation) bonus(10); else {var values = [1[;] 2[;] 3[;] 4[;] 5[;] 6]; values.remove(d); var value = rand(values); var c = 0; for (mydice in self.dicepool) if (mydice.available()) {mydice.animatereroll(value[;] self.screenposition()[;] c * 0.05); c++;}},,ODD,,GREEN,simplify,change_power,,diceroll,,YES,,,,,,,,,,,,,,
Rigged Roll_downgraded,Set all dice to|[quote]something other than <slotdoubles>[quote],2,if (simulation) bonus(10); else {var values = [1[;] 2[;] 3[;] 4[;] 5[;] 6]; values.remove(d); var value = rand(values); var c = 0; for (mydice in self.dicepool) if (mydice.available()) {mydice.animatereroll(value[;] self.screenposition()[;] c * 0.05); c++;}},,DOUBLES|DOUBLES,,GREEN,,,,diceroll,,YES,,,,,,,,,,,,,,
Hot Couple,Roll two <d6>s[;] one of|them catches on [fire]fire,2,inflictself(FIRE); givedice([d[;] d]);,,MIN4,,RED,simplify,complicate,,,,YES,,,,,,,,,,,,,,
Lightsaber,Do [sword]<d6> damage|Lock on 6,2,attack(d); if (d >= 6) inflict(LOCK); sfx(~_lock~[;] ~~[;] 0.2);,,NORMAL,,PURPLE,change_power,change_power,,_damage,,,,,,,,,,,,,,,,
Lightsaber_upgraded,Do [sword]<d6> damage|Lock on even,2,attack(d); if ((d % 2) == 0) inflict(LOCK); sfx(~_lock~[;] ~~[;] 0.2);,,NORMAL,,PURPLE,,,,_damage,,,,,,,,,,,,,,,,
Shield of Cthulhu,Block [shield]<d6> damage|Do [sword]<double> damage,2,inflictself(SHIELD[;] d); attack(d * 2); sfxdamage(target[;] d * 2);,,MAX3,,ORANGE,change_power,decreaserange,,_shield,,,,,,,,,,,,,,,,
Shield of Cthulhu_upgraded,Block [shield]<d6> damage|Do [sword]6 damage,2,inflictself(SHIELD[;] d); attack(6); sfxdamage(target[;] 6);,,MAX3,,ORANGE,,,,_shield,,,,,,,,,,,,,,,,
Rewind,Activate all equipment that|was used this turn,2,if (!simulation) {var width = []; for (i in 0...(3840 - 792)) width.push(i); var c = 0; for (eq in self.equipment) if (eq.skillcard == ~~ && eq.name != e.name && !eq.ready) {eq.x = rand(width); eq.y = (self.isplayer ? (e.castdirection == 1 ? -e.height : 2160) : (e.castdirection == 1 ? 2160 : -e.height)); eq.show = true; eq.doequipmentaction(self[;] target[;] (self.isplayer ? 1 : -1)[;] eq.assigneddice[;] 0.3 * c); c++;}} else {bonus(100);},,COUNTDOWN,15,ORANGE,halfcountdown,noeffect,,,,YES,,finale,,,,,,,,,,,,
Magician's Secret,On the next turn|roll an extra dice,2,inflictself(~stash~ + rand([1[;] 2[;] 3[;] 4[;] 5[;] 6])); inflictself(~illuminate~);,,ODD,,PINK,change_power,change_power,,_thinghappens,,YES,,,,,,,,,,,,,,
Magician's Secret_upgraded,Roll an extra dice[;]|return this dice,2,givedice(); givedice(d);,,ODD,,PINK,,,,,,YES,,,,,,,,,,,,,,
Magician's Secret_downgraded,Reroll a dice,2,givedice();,,ODD,,PINK,,,,,,YES,,,,,,,,,,,,,,
Shattered Mirror,Each turn[;] roll an extra|<d6> and take [sword]1 damage,2,var _d = d; if (_d < 1) _d = 1; if (_d > 6) _d = 6; inflictself(~mqshadow~ + _d);,,NORMAL,,PURPLE,change_power,change_power,,_blind,,YES,,,,,,,,,,,,,,
Shattered Mirror_upgraded,[]+1 dice this fight,2,self.extradice++;,,REQUIRE6,,PURPLE,,,,magic_gaindice,,YES,,,,,,,,,,,,,,
Shattered Mirror_downgraded,Each turn[;] roll an extra|<d6> and take [sword]1 damage,2,var _d = d; if (_d < 1) _d = 1; if (_d > 6) _d = 6; inflictself(~mqshadow~ + _d);,,MAX3,,PURPLE,,,,_blind,,YES,,,,,,,,,,,,,,
Ladder,Flip the dice[;] then +1 |value to the result,2,var ladder = 7-d; givedice((ladder + 1)); var sfx = rand([1[;]2[;]3[;]4]); sfx(~diceroll~ + sfx);,,MAX3,,ORANGE,change_power,change_power,,,,YES,,,,,,,,,,,,,,
Ladder_upgraded,Flip the dice[;] then +1 |value to the result|,2,var ladder = 7-d; givedice((ladder + 1)); var sfx = rand([1[;]2[;]3[;]4]); sfx(~diceroll~ + sfx);,,MAX3,,ORANGE,,,,,2,YES,,,,,,,,,,,,,,
Chute,Flip the dice[;] but give|two copies of the result,2,var chute = 7-d; givedice(chute); givedice(chute); var sfx = rand([1[;]2[;]3[;]4]); sfx(~diceroll~ + sfx);,,MIN4,,GREEN,change_power,change_power,,,,YES,,,,,,,,,,,,,,
Chute_upgraded,Flip the dice[;] but give|two copies of the result|,2,var chute = 7-d; givedice(chute); givedice(chute); var sfx = rand([1[;]2[;]3[;]4]); sfx(~diceroll~ + sfx);,,MIN4,,GREEN,,,,,2,YES,,,,,,,,,,,,,,
Chute_downgraded,Flip the dice[;] but give|two copies of the result,2,var chute = 7-d; givedice(chute); givedice(chute); var sfx = rand([1[;]2[;]3[;]4]); sfx(~diceroll~ + sfx);,,REQUIRE6,,GREEN,,,,,,YES,,,,,,,,,,,,,,
Ladder_downgraded,Flip the dice[;] then +1 |value to the result,2,var ladder = 7-d; givedice((ladder + 1)); var sfx = rand([1[;]2[;]3[;]4]); sfx(~diceroll~ + sfx);,,RANGE23,,ORANGE,,,,,,YES,,,,,,,,,,,,,,
Rusty Cauldron,Do [dice]1 damage[;] -1 |dice value[;] [dice] = 5[;] roll a 1,2,attack(1); givedice(d - 1); if(d == 5) { givedice(1); bonus(500); },,MIN2,,GRAY,change_power,decreaserange,,,,,,,,,,,,,,,,,,
Rusty Cauldron@breaking_upgraded,Do [shield]1 damage[;] Split dice|[gray](2 uses left),2,pierceattack(1); givedice(split(d)[;] ~splitdice~); giveequipment(~Rusty Cauldron@broken+~[;] true[;] false[;] e);,,NORMAL,,GRAY,,,,,,,,,,,,,,,,,,,,
Rusty Cauldron@broken_upgraded,Do [shield]1 damage[;] Split dice|[gray](1 use left),2,pierceattack(1); givedice(split(d)[;] ~splitdice~);,,NORMAL,,GRAY,,,,,,,,,,,,,,,,,,,,
Rusty Cauldron_upgraded,Do [dice]1 damage[;] split|dice[;] [dice] = 5[;] roll a 1,2,attack(1); givedice(split(d)[;] ~splitdice~); if(d == 5) { givedice(1); },,NORMAL,,GRAY,,,,,,,,,,,,,,,,,,,,
Rusty Cauldron_downgraded,Do [sword]1 damage|,2,attack(1);,,MIN2,,GRAY,,,,,-1,,,,,,,,,,,,,,,
Rusty Cauldron@breaking_downgraded,Do [shield]1 damage|,2,pierceattack(1);,,MIN2,,GRAY,,,,,-1,,,,,,,,,,,,,,,
Rusty Cauldron@broken_downgraded,Do [shield]1 damage|,2,pierceattack(1);,,MIN2,,GRAY,,,,,-1,,,,,,,,,,,,,,,
Shiny Cauldron,Do [confuse]1 damage.|Double dice value.,2,attack(1[;] CONFUSE); givedice(d * 2[;] ~combinedice~);,,MAX5,,YELLOW,simplify,decreaserange,,,,,,,,,,,,,,,,,,
H4mm3r,On 8[;] inflict [shock]Shock.|Deal [shock]<d6> damage.,2,if(d == 8) { inflict(SHOCK); attack(d[;] SHOCK); sfx(target[;] d); sfx(~_shock~); bonus(500); } else if(getstatus(SHOCK) >= 1) { attack(d[;] SHOCK); sfx(target[;] d); } else { attack((d / 2)[;] SHOCK); sfx(target[;] d/2); },,MAX5|MAX5,,YELLOW,simplify,change_power,,,,,,,,,,,,,,,,,,
H4mm3r_upgraded,On 8[;] inflict [shock]Shock.|Deal [shock]<d6> damage.,2,if(d == 8) { inflict(SHOCK); attack(d[;] SHOCK); sfx(target[;] d); sfx(~_shock~); bonus(500); } else if(getstatus(SHOCK) >= 1) { attack(d[;] SHOCK); sfx(target[;] d); } else { attack((d / 2)[;] SHOCK); sfx(target[;] d/2); },,NORMAL|NORMAL,,YELLOW,,,,,,,,,,,,,,,,,,,,
Stew,Do [sword]1 damage[;]|get a new dice,2,attack(1); givedice();,,COUNTDOWN,3,PURPLE,change_power,change_power,,_damage,,,,,,,,,,,,,,,,
Stew_upgraded,Do [sword]2 damage[;]|get a new dice,2,attack(2); givedice();,,COUNTDOWN,3,PURPLE,,,,_damage,,,,,,,,,,,,,,,,
Stew_downgraded,Do [sword]1 damage,2,attack(1);,,COUNTDOWN,3,PURPLE,,,,_damage,,,,,,,,,,,,,,,,
Laser,Do [sword]4 damage,2,attack(4); sfx(~_plasma~);,,COUNTDOWN,4,RED,change_power,change_power,,_damage,,,,,,,,,,,,,,,,
Laser_upgraded,Do [sword]5 damage,2,attack(5); sfx(~_plasma~);,,COUNTDOWN,4,RED,,,,_damage,,,,,,,,,,,,,,,,
Laser_downgraded,Do [sword]2 damage,2,attack(2); sfx(~_plasma~);,,COUNTDOWN,4,RED,,,,_damage,,,,,,,,,,,,,,,,
Feather Arrow,Inflict [weaken][;]then do 1 Dmg|<d6> amount of times,2,inflict(WEAKEN); for (i in 0...d) {attack(1);}; sfx(~_weaken~);,,REQUIRE1|FREE1,,ORANGE,change_power,change_power,,,,,,,,,,,,,,,,,,
Feather Arrow_upgraded,Inflict [weaken][;]then do 1 Dmg|<d6> amount of times,2, inflict(WEAKEN); for (i in 0...d) {attack(1);}; sfx(~_weaken~);,,MAX2|FREE1,,ORANGE,,,,,,,,,,,,,,,,,,,,
Feather Arrow_downgraded,Inflict [weaken][;]then do 1 Dmg|<d6> amount of times,2,inflict(WEAKEN); for (i in 0...d) {attack(1);}; sfx(~_weaken~);,,REQUIRE1,,ORANGE,,,,,,,,,,,,,,,,,,,,
Rainbow Crystal,[red]Cast [orange]a [yellow]lot [green]of [blue]statuses [purple]to|[gray]you [red]and [orange]the [yellow]foe[green][;] <d6> [blue]dmg.|[gray](You receive good statuses),2,sfx(~_vanish~); sfx(~_magic~); inflict(rand([FIRE|SHOCK|ICE|WEAKEN|POISON|BLIND|CONFUSE|LOCK|SILENCE|CURSE])); inflictself(rand([SHIELD|REDUCE|THORNS|REEQUIPNEXT|SURVIVE|FURY|DODGE|PIERCE])); attack(d);,,MAX4,,PINK,change_power,change_power,,,,,,,,,,,,,,,,,,
Rainbow Crystal_downgraded,[red]Cast [orange]a [yellow]lot [green]of [blue]statuses [purple]to|[gray]you [red]and [orange]the [yellow]foe[green][;] <d6> [blue]dmg,2,sfx(~_vanish~) ;sfx(~_magic~); inflict(rand([FIRE|SHOCK|ICE|WEAKEN|POISON|BLIND|CONFUSE|LOCK|SILENCE|CURSE])); inflictself(rand([FIRE|SHOCK|ICE|WEAKEN|POISON|BLIND|CONFUSE|LOCK|SILENCE|CURSE])); attack(d);,,MAX4,,PINK,,,,,,,,,,,,,,,,,,,,
Rainbow Crystal_upgraded,[red]Cast [orange]a [yellow]lot [green]of [blue]statuses [purple]to|[gray]you [red]and [orange]the [yellow]foe[green][;] <d6> [blue]dmg.|[gray](start of turn: [red]?[yellow]?[blue]? [gray]status),2,sfx(~_vanish~); sfx(~_magic~); inflict(rand([FIRE|SHOCK|ICE|WEAKEN|POISON|BLIND|CONFUSE|LOCK|SILENCE|CURSE])); inflictself(rand([SHIELD|REDUCE|THORNS|REEQUIPNEXT|SURVIVE|FURY|DODGE|PIERCE])); attack(d);,,MAX4,,PINK,,,,,,,,,,,,,,,,,,,,
Creep,In [jinx]2 turns[;] deal [sword]4 dmg|and add a status,2,jinx(~Creep~|~[sword]4 damage[;] gain a status~|~[sword]4 damage[;] gain a status~|~inflict(rand([CURSE| LOCK| FIRE| ICE| WEAKEN| SHOCK| POISON])); sfx(\~_curse\~|\~\~|0.2); attack(%VAR%); sfxdamage(null|%VAR%);~|target|self|2|4); sfx(~_thinghappens~);,,COUNTDOWN,5,PINK,change_power,change_power,2,,,,,,,,,,,,,,,,,
Creep_downgraded,In [jinx]4 turns[;] deal [sword]4 dmg|and add a status,2,jinx(~Creep-~|~[sword]4 damage[;] gain a status~|~[sword]4 damage[;] gain a status~|~inflict(rand([CURSE| LOCK| FIRE| ICE| WEAKEN| SHOCK| POISON])); sfx(\~_curse\~|\~\~|0.2); attack(%VAR%); sfxdamage(null|%VAR%);~|target|self|4|4); sfx(~_thinghappens~);,,COUNTDOWN,5,PINK,,,2,,,,,,,,,,,,,,,,,
Creep_upgraded,In [jinx]2 turns[;] deal [sword]6 dmg|and add a status,2,jinx(~Creep+~|~[sword]6 damage[;] gain a status~|~[sword]6 damage[;] gain a status~|~inflict(rand([CURSE| LOCK| FIRE| ICE| WEAKEN| SHOCK| POISON])); sfx(\~_curse\~|\~\~|0.2); attack(%VAR%); sfxdamage(null|%VAR%);~|target|self|2|6); sfx(~_thinghappens~);,,COUNTDOWN,5,PINK,,,2,,,,,,,,,,,,,,,,,
Dense Fog,Do [sword]2[;] blind [blind]1 die|gain a dice|[gray](once per battle),2,attack(2); givedice(rand([1|2|3|4|5|6])); inflict(BLIND); sfx(~_blind~); sfxdamage(null|3);,,COUNTDOWN,5,GRAY,change_power,change_power,,,,,YES,,,,,,,,,,,,,
Dense Fog_upgraded,Do [sword]4[;] blind [blind]1 die|gain a dice|[gray](once per battle),2,attack(4); givedice(rand([1|2|3|4|5|6])); inflict(BLIND); sfx(~_blind~); sfxdamage(null|4);,,COUNTDOWN,5,GRAY,,,,,,,YES,,,,,,,,,,,,,
Dense Fog_downgraded,Do [sword]2[;] blind [blind]1 dice|[gray](once per battle),2,attack(2); inflict(BLIND); sfx(~_blind~); sfxdamage(null|3); removeequipment(e);,,COUNTDOWN,5,GRAY,,,,,,,YES,,,,,,,,,,,,,
Forecast,Gain a low [dice][;] In [jinx]2 turns|Inflict [curse]1 Curse and [sword]3|[gray](once per battle),2, givedice(rand([1|2|3])); jinx(~Forecast~|~[sword]3 damage[;] gain [curse]curse~|~[sword]3 damage[;] gain [curse]curse~|~inflict(CURSE); sfx(\~_curse\~|\~\~|0.2); attack(3); sfxdamage(null|3);~|target|self|2|3); sfx(~_thinghappens~);,,COUNTDOWN,5,PINK,change_power,change_power,,,,,YES,,,,,,,,,,,,,
Forecast_upgraded,Gain a low [dice][;] In [jinx]2 turns|Inflict [curse]1 Curse and [sword]5|[gray](once per battle),2, givedice(rand([1|2|3|4|5|6])); jinx(~Forecast~|~[sword]5 damage[;] gain [curse]curse~|~[sword]5 damage[;] gain [curse]curse~|~inflict(CURSE); sfx(\~_curse\~|\~\~|0.2); attack(5); sfxdamage(null|5);~|target|self|2|5); sfx(~_thinghappens~);,,COUNTDOWN,5,PINK,,,,,,,YES,,,,,,,,,,,,,
Forecast_downgraded,In [jinx]2 turns[;] do [sword] 3|[gray](once per battle),2, jinx(~Forecast~|~[sword]3 damage~|~[sword]3 damage~|~sfx(\~_curse\~|\~\~|0.2); attack(3); sfxdamage(null|3);~|target|self|2|3); sfx(~_thinghappens~); removeequipment(e);,,COUNTDOWN,5,PINK,,,,,,,YES,,,,,,,,,,,,,
Acid Rain,Do [poison]3 dmg[;] inflict [poison]1|gain a low dice|[gray](once per battle),2,attack(3|POISON); givedice(rand([1|2|3])); inflict(POISON); sfx(~_poison~); sfxdamage(null|3);,,COUNTDOWN,5,PURPLE,change_power,change_power,,,,,YES,,,,,,,,,,,,,
Acid Rain_upgraded,Do [poison]4 dmg[;] inflict [poison]1|gain a dice|[gray](once per battle),2,attack(5|POISON); givedice(rand([1|2|3|4|5|6])); inflict(POISON); sfx(~_poison~); sfxdamage(null|4);,,COUNTDOWN,5,PURPLE,,,,,,,YES,,,,,,,,,,,,,
Acid Rain_downgraded,Do [poison]3 dmg|[gray](once per battle),2,attack(3|POISON); sfx(~_poison~); sfxdamage(null|3); removeequipment(e);,,COUNTDOWN,5,PURPLE,,,,,,,YES,,,,,,,,,,,,,
Sandstorm,Do [weaken]3 dmg[;] inflict [weaken]1|gain a low dice|[gray](once per battle),2,attack(3|WEAKEN); givedice(rand([1|2|3])); inflict(WEAKEN); sfx(~_weaken~); sfxdamage(null|3);,,COUNTDOWN,5,ORANGE,change_power,change_power,,,,,YES,,,,,,,,,,,,,
Sandstorm_upgraded,Do [weaken]4 dmg[;] inflict [weaken]1|gain a dice|[gray](once per battle),2,attack(5|WEAKEN); givedice(rand([1|2|3|4|5|6])); inflict(WEAKEN); sfx(~_weaken~); sfxdamage(null|4);,,COUNTDOWN,5,ORANGE,,,,,,,YES,,,,,,,,,,,,,
Sandstorm_downgraded,Do [weaken]3 dmg|[gray](once per battle),2,attack(3|WEAKEN); sfx(~_weaken~); sfxdamage(null|3); removeequipment(e);,,COUNTDOWN,5,ORANGE,,,,,,,YES,,,,,,,,,,,,,
Pollution,Take [sword]2 dmg[;] but inflict [vanish][;]|[curse][;][blind] and [poison][;] gain a low dice|[gray](once per battle),2,attackself(2|POISON); givedice(rand([1|2|3])); if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { inflict(~ncr_vanish~); inflict(~ncr_internalvanish~); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); }; inflict(CURSE); inflict(BLIND); inflict(POISON); sfx(~_vanish~); sfx(~_curse~); sfx(~_blind~); sfx(~_poison~);,,COUNTDOWN,5,BLACK,change_power,change_power,,,,,YES,,,,,,,,,,,,,
Pollution_upgraded,Heal for [sword]1[;] inflict [vanish][;]|[curse][;][blind] and [poison][;] gain a dice|[gray](once per battle),2,attackself(-3); givedice(rand([1|2|3|4|5|6])); if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { inflict(~ncr_vanish~); inflict(~ncr_internalvanish~); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); }; inflict(CURSE); inflict(BLIND); inflict(POISON); sfx(~_vanish~); sfx(~_curse~); sfx(~_blind~); sfx(~_poison~); sfx(~_heal~);,,COUNTDOWN,5,BLACK,,,,,,,YES,,,,,,,,,,,,,
Pollution_downgraded,Take [sword]3 dmg[;]|and inflict [vanish][;][curse][;][blind] and [poison]|[gray](once per battle),2,attackself(4|POISON); if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { inflict(~ncr_vanish~); inflict(~ncr_internalvanish~); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); }; inflict(CURSE); inflict(BLIND); inflict(POISON); sfx(~_vanish~); sfx(~_curse~); sfx(~_blind~); sfx(~_poison~); removeequipment(e);,,COUNTDOWN,5,BLACK,,,,,,,YES,,,,,,,,,,,,,
Gemini Geometry,If Odd[;] duplicate dice.|If Even[;] dice value x2.,2,if(d%2 == 0){ givedice(d*2); } else { givedice([d|d]);}; sfx(~useitem~);,,MAX5,,GREEN,change_power,change_power,,,,YES,,,,,,,,,,,,,,
Gemini Geometry_downgraded,If Odd[;] dice decreases by 1.|If Even[;] reroll dice.,2,if(d%2 == 0){ givedice(); } else { givedice(d-1);}; sfx(~useitem~);,,MIN5,,GREEN,,,,,,YES,,,,,,,,,,,,,,
Gemini Geometry_upgraded,2 or 3: Square the dice|4 or 5: Dice (<d6>x2) + 1,2,if(d == 2){ givedice(4); } if(d == 3){ givedice(6); givedice(3); } if(d == 4){givedice(9);} if(d == 5){givedice(11);} sfx(~useitem~);,,RANGE25,,GREEN,,,,,,YES,,,,,,,,,,,,,,
Rewind Tape,Gain an [confuse]Extra [yellow]Turn|[gray](Once per battle),2,inflictself(~extraturn~); sfx(~_dodge~); sfx(~_thinghappens~); ,,COUNTDOWN,30,ORANGE,change_power,change_power,,,,YES,YES,,,,,,,,,,,,,
Rewind Tape_upgraded,Gain an [confuse]Extra [yellow]Turn|[gray](Once per battle),2,inflictself(~extraturn~); sfx(~_dodge~); sfx(~thinghappens~);,,COUNTDOWN,20,ORANGE,,,,,,YES,YES,,,,,,,,,,,,,
Rewind Tape_downgraded,Do Nothing,2,sfx(~_dodge~); sfx(~thinghappens~);,,COUNTDOWN,1,ORANGE,,,,,,YES,YES,,,,,,,,,,,,,
Hammer@enemy,Do [shock]<d6> damage[;]|on 6[;] inflict [shock]1 shock,2,attack(d | SHOCK); if(d == 6) inflict(SHOCK); if(d < 6) { sfxdamage(target|d); } else { sfxdamage(target|d); sfx(~_shock~|~~|0.2); },,NORMAL,,YELLOW,reducesize,change_power,,,,,,excludefromrandomlists,,,,,,,,,,,,
Hammer@enemy_downgraded,Do [shock]<d6> damage,2,attack(d | SHOCK);,,NORMAL,,YELLOW,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Hammer@enemy_weakened,Do [shock]<d6> damage,2,attack(d | SHOCK);,,NORMAL,,YELLOW,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Hammer@enemy_deckupgrade,Do [shock]<d6> damage|[shock]Shocks the enemy,2,attack(d| SHOCK); inflict(SHOCK);,,NORMAL,,YELLOW,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Sh0vel,Do [weaken]<d6> damage[;]|on 6[;] inflict [weaken]1 weaken,2,attack(d | WEAKEN); if(d == 6) inflict(WEAKEN); if(d < 6) { sfxdamage(target|d); } else { sfxdamage(target|d); sfx(~_weaken~|~~|0.2); },,NORMAL,,ORANGE,change_power,change_power,weaken,,,,,excludefromrandomlists,,,,,,,,,,,,
Sh0vel_upgraded,Do [weaken]<d6> damage[;]|on even[;] inflict [weaken]1 weaken,2,attack(d | WEAKEN); if(d % 2 == 0) inflict(WEAKEN); if(d % 2 == 1) { sfxdamage(target|d); } else { sfxdamage(target|d); sfx(~_weaken~|~~|0.2); },,NORMAL,,ORANGE,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Sh0vel_downgraded,Do [weaken]<d6> damage,2,attack(d | WEAKEN);,,NORMAL,,ORANGE,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Cauldron@enemy,Do [sword]1 damage[;]|get a new dice,1,attack(1); givedice();,,NORMAL,,PURPLE,change_power,change_power,,,,,,excludefromrandomlists,,,,,,,,,,,,givedice();
Cauldron@enemy_upgraded,Do [sword]1 damage[;] reroll dice|[gray](Reuseable),1,attack(1); givedice();,,NORMAL,,PURPLE,,,,,2,,,excludefromrandomlists,,,,,,,,,,,,givedice();
Cauldron@enemy_downgraded,Do [sword]1 damage,1,attack(1);,,NORMAL,,PURPLE,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Blood Suck@enemy,Drain [heart]<d6> health,2,drain(d);,,MAX4,,RED,simplify,decreaserange,,,,,,excludefromrandomlists,,,,,,,,,,,,
Lament@enemy,Do [sword]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,2,attack(d); if(d == 6) { inflict(ICE| 1); sfx(~_ice~|~~|0.2); } sfxdamage(target|d);,,NORMAL,,BRIGHTCYAN,change_power,change_power,,,,,,excludefromrandomlists,,,,,,,,,,,,
Lament@enemy_upgraded,Do [sword]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,2,attack(d); if(d == 7) { inflict(ICE| 1); sfx(~_ice~|~~|0.2); } sfxdamage(target|d);,,NORMAL|FREE1,,BRIGHTCYAN,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Lament@enemy_downgraded,Do [sword]<d6> damage,2,attack(d);,,NORMAL,,BRIGHTCYAN,,,,,,,,excludefromrandomlists,,,,,,,,,,,,
Hall of Mirrors@enemy,[]+1 dice this fight,1,if(simulation) { bonus(1000); } else{ self.extradice++; },,REQUIRE6,,PURPLE,simplify,doublerequirements,,,,YES,,excludefromrandomlists,,,,,,,,,,,,
Crash,Do [ice]2 damage|+ [ice]1 damage per [ice]Freeze.,2,attack(getstatus(ICE) + 2| ICE); sfx(~_ice~);,,MAX4,,BRIGHTCYAN,change_power,change_power,,_ice,,,,,,,,,,,,,,,,
Crash_upgraded,Do [ice]2 damage|+ [ice]1 damage per [ice]Freeze.|Return the dice.,2,attack(getstatus(ICE) + 2| ICE); givedice(d); sfx(~_ice~);,,MAX4,,BRIGHTCYAN,,,,_ice,,,,,,,,,,,,,,,,
Crash_downgraded,Do [ice]2 damage|+ [ice]1 damage per [ice]Freeze.,2,attack(getstatus(ICE) + 2| ICE); sfx(~_ice~);,,MAX2,,BRIGHTCYAN,,,,_ice,,,,,,,,,,,,,,,,
Boo,Do [sword]2 damage[;]|inflict [haunted]Haunt,2,attack(2); inflict(~haunted~); sfx(~_damage~);,,NORMAL,,PINK,change_power,change_power,,,,,,,,,,,,,,,,,,
Boo_upgraded,Do [sword]3 damage[;]|inflict [haunted]Haunt,2,attack(3); inflict(~haunted~); sfx(~_damage~);,,NORMAL,,PINK,,,,,,,,,,,,,,,,,,,,
Boo_downgraded,Do [sword]1 damage[;]|inflict [haunted]Haunt,2,attack(1); inflict(~haunted~); sfx(~_damage~);,,NORMAL,,PINK,,,,,,,,,,,,,,,,,,,,
Trick,Do [sword]3 damage[;]|snap 3 at once to inflict|[recycle]Swap [green]Next [green]Target,2,attack(3); sfx(~_damage~);,,MAX4,,ORANGE,change_power,change_power,,,,,,,,,,,,,,,,if(snap >= 3) inflict(~reversenexttarget~);,,
Trick_upgraded,Do [sword]4 damage[;]|snap 3 at once to inflict|[recycle]Swap [green]Next [green]Target,2,attack(4); sfx(~_damage~);,,MAX4,,ORANGE,,,,,,,,,,,,,,,,,,if(snap >= 3) inflict(~reversenexttarget~);,,
Trick_downgraded,Do [sword]2 damage[;]|snap 3 at once to inflict|[recycle]Swap [green]Next [green]Target,2,attack(2); sfx(~_damage~);,,MAX4,,ORANGE,,,,,,,,,,,,,,,,,,if(snap >= 3) inflict(~reversenexttarget~);,,
Treat,Heal [heal]2. If above max hp[;]|gain [fury]Spooky [red]Fury[]|up to twice per turn.,2,if(self.maxhp - self.hp < 2 && e.getvar(~treat~) < 2) { e.setvar(~treat~ | e.getvar(~treat~) + 1); inflictself(~spookyfury~); } attackself(-2); sfx(~_heal~);,,NORMAL,,GREEN,change_power,change_power,,,,YES,,,,,,,e.setvar(~treat~ | 0);,,,,,if(getstatusself(~spookyfury~) > 2){ removestatusself(~spookyfury~ | getstatusself(~spookyfury~) - 2); },e.preventdefault = true; e.maintainfury = true;,
